operation,property_type,title,description_es,price_amount,price_currency,bedrooms,bathrooms,parking,area_m2,land_m2,property_state,location_full_slug,location_name,address_text,lat,lng,contact_phone,source_external_id,source_url,image_urls
alquiler,departamento,Departamento en alquiler en Villa Morra,Departamento luminoso a pasos del Shopping del Sol,4200000,PYG,2,2,1,68,,usado,asuncion/villa-morra,,,,,0981100201,DEMO-001,,
alquiler,departamento,Departamento en alquiler en Recoleta,Torre con amenities cerca del Jardín Botánico,3600000,PYG,1,1,1,48,,usado,asuncion/recoleta,,,,,0981100202,DEMO-002,,
alquiler,departamento,Departamento en alquiler en Las Mercedes,Monoambiente moderno a estrenar,2900000,PYG,0,1,0,38,,entrega_inmediata,asuncion/las-mercedes,,,,,0981100203,DEMO-003,,
alquiler,departamento,Departamento en alquiler en Trinidad,Cerca de la UNA - ideal estudiantes,2400000,PYG,2,1,0,55,,usado,asuncion/trinidad,,,,,0981100204,DEMO-004,,
alquiler,departamento,Departamento en alquiler en Carmelitas,Amplio con balcón y parrillero,3100000,PYG,2,1,1,72,,usado,asuncion/carmelitas,,,,,0981100205,DEMO-005,,
alquiler,departamento,Departamento en alquiler en Sajonia,A metros de la Costanera,2800000,PYG,1,1,1,50,,usado,asuncion/sajonia,,,,,0981100206,DEMO-006,,
alquiler,departamento,Departamento en alquiler en Mburicaó,Torre con seguridad 24hs,3400000,PYG,2,2,1,65,,usado,asuncion/mburicao,,,,,0981100207,DEMO-007,,
alquiler,departamento,Departamento en alquiler en Ycuá Satí,Cerca del Botánico y colegios,3900000,PYG,2,2,1,78,,entrega_inmediata,asuncion/ycua-sati,,,,,0981100208,DEMO-008,,
alquiler,departamento,Departamento en alquiler en San Vicente,Reciclado - listo para mudarse,2200000,PYG,1,1,0,45,,usado,asuncion/san-vicente,,,,,0981100209,DEMO-009,,
alquiler,departamento,Departamento en alquiler en Los Laureles,Piso alto con vista despejada,2600000,PYG,1,1,1,52,,usado,asuncion/los-laureles,,,,,0981100210,DEMO-010,,
alquiler,departamento,Departamento en alquiler en Barrio Jara,A pasos del Mcal. López,3300000,PYG,2,1,1,60,,usado,asuncion/barrio-jara,,,,,0981100211,DEMO-011,,
alquiler,departamento,Departamento en alquiler en Villa Morra,Excelente ubicación - cocina equipada,900,USD,2,2,1,80,,usado,asuncion/villa-morra,,,,,0981100212,DEMO-012,,
alquiler,departamento,Departamento en alquiler en Recoleta,Vista al río - edificio con pileta,750,USD,1,1,1,58,,usado,asuncion/recoleta,,,,,0981100213,DEMO-013,,
alquiler,casa,Casa en alquiler en Luque,Casa con patio y quincho,3800000,PYG,3,2,2,140,250,usado,central/luque,,,,,0981100214,DEMO-014,,
alquiler,casa,Casa en alquiler en San Lorenzo,Cerca de la Ruta 2 - ideal familia,3500000,PYG,3,1,1,120,200,usado,central/san-lorenzo,,,,,0981100215,DEMO-015,,
alquiler,casa,Casa en alquiler en Lambaré,Casa reciclada con jardín,4100000,PYG,3,2,2,150,280,usado,central/lambare,,,,,0981100216,DEMO-016,,
