operation,property_type,title,description_es,price_amount,price_currency,bedrooms,bathrooms,parking,area_m2,land_m2,property_state,location_full_slug,location_name,address_text,lat,lng,contact_phone,source_external_id,source_url,image_urls
venta,casa,Casa moderna en Recoleta,"Excelente propiedad en Recoleta. Muy bien ubicada, lista para habitar. Consultá disponibilidad y financiación.",185000,USD,3,2,2,220,300,usado,asuncion/recoleta,,,,,0981 123 456,DEMO-001,,https://picsum.photos/seed/p1a/800/600|https://picsum.photos/seed/p1b/800/600|https://picsum.photos/seed/p1c/800/600
venta,casa,Casa con patio en Recoleta,"Excelente propiedad en Recoleta. Muy bien ubicada, lista para habitar. Consultá disponibilidad y financiación.",245000,USD,4,3,2,280,350,usado,asuncion/recoleta,,,,,0981 123 456,DEMO-002,,https://picsum.photos/seed/p2a/800/600|https://picsum.photos/seed/p2b/800/600|https://picsum.photos/seed/p2c/800/600
venta,departamento,Monoambiente céntrico en Recoleta,Departamento en Recoleta con excelente conectividad. Ideal para vivir o invertir.,132000,USD,2,2,1,88,,entrega_inmediata,asuncion/recoleta,,,,,0971 555 777,DEMO-003,,https://picsum.photos/seed/p3a/800/600|https://picsum.photos/seed/p3b/800/600|https://picsum.photos/seed/p3c/800/600
venta,departamento,Departamento amoblado en Recoleta,Departamento en Recoleta con excelente conectividad. Ideal para vivir o invertir.,98000,USD,1,1,1,55,,entrega_inmediata,asuncion/recoleta,,,,,0971 555 777,DEMO-004,,https://picsum.photos/seed/p4a/800/600|https://picsum.photos/seed/p4b/800/600|https://picsum.photos/seed/p4c/800/600
venta,casa,Casa con piscina en Recoleta,"Excelente propiedad en Recoleta. Muy bien ubicada, lista para habitar. Consultá disponibilidad y financiación.",162000,USD,3,2,2,205,260,entrega_inmediata,asuncion/recoleta,,,,,0985 200 100,DEMO-005,,https://picsum.photos/seed/p5a/800/600|https://picsum.photos/seed/p5b/800/600|https://picsum.photos/seed/p5c/800/600
venta,departamento,Departamento a estrenar en Villa Morra,Departamento en Villa Morra con excelente conectividad. Ideal para vivir o invertir.,118000,USD,2,2,1,78,,entrega_inmediata,asuncion/villa-morra,,,,,0982 640 330,DEMO-006,,https://picsum.photos/seed/p6a/800/600|https://picsum.photos/seed/p6b/800/600|https://picsum.photos/seed/p6c/800/600
venta,departamento,Departamento con balcón en Villa Morra,Departamento en Villa Morra con excelente conectividad. Ideal para vivir o invertir.,89000,USD,1,1,1,52,,en_construccion,asuncion/villa-morra,,,,,0982 640 330,DEMO-007,,https://picsum.photos/seed/p7a/800/600|https://picsum.photos/seed/p7b/800/600|https://picsum.photos/seed/p7c/800/600
venta,casa,Casa con patio en Villa Morra,"Excelente propiedad en Villa Morra. Muy bien ubicada, lista para habitar. Consultá disponibilidad y financiación.",320000,USD,4,3,2,340,400,usado,asuncion/villa-morra,,,,,0991 480 220,DEMO-008,,https://picsum.photos/seed/p8a/800/600|https://picsum.photos/seed/p8b/800/600|https://picsum.photos/seed/p8c/800/600
venta,departamento,Departamento amoblado en Villa Morra,Departamento en Villa Morra con excelente conectividad. Ideal para vivir o invertir.,156000,USD,3,3,1,110,,entrega_inmediata,asuncion/villa-morra,,,,,0991 480 220,DEMO-009,,https://picsum.photos/seed/p9a/800/600|https://picsum.photos/seed/p9b/800/600|https://picsum.photos/seed/p9c/800/600
venta,casa,Casa a estrenar en Villa Morra,"Excelente propiedad en Villa Morra. Muy bien ubicada, lista para habitar. Consultá disponibilidad y financiación.",210000,USD,3,2,2,240,300,usado,asuncion/villa-morra,,,,,0985 200 100,DEMO-010,,https://picsum.photos/seed/p10a/800/600|https://picsum.photos/seed/p10b/800/600|https://picsum.photos/seed/p10c/800/600
venta,casa,Casa con piscina en Luque,"Excelente propiedad en Luque. Muy bien ubicada, lista para habitar. Consultá disponibilidad y financiación.",95000,USD,3,2,2,160,240,usado,central/luque,,,,,0983 770 110,DEMO-011,,https://picsum.photos/seed/p11a/800/600|https://picsum.photos/seed/p11b/800/600|https://picsum.photos/seed/p11c/800/600
venta,casa,Residencia amplia en Luque,"Excelente propiedad en Luque. Muy bien ubicada, lista para habitar. Consultá disponibilidad y financiación.",128000,USD,4,3,2,200,300,usado,central/luque,,,,,0983 770 110,DEMO-012,,https://picsum.photos/seed/p12a/800/600|https://picsum.photos/seed/p12b/800/600|https://picsum.photos/seed/p12c/800/600
venta,terreno,Terreno en Luque,"Lote en Luque, zona en crecimiento. Ideal para construir o invertir.",60000,USD,,,,,450,usado,central/luque,,,,,0975 330 990,DEMO-013,,https://picsum.photos/seed/p13a/800/600|https://picsum.photos/seed/p13b/800/600|https://picsum.photos/seed/p13c/800/600
venta,terreno,Terreno en Luque,"Lote en Luque, zona en crecimiento. Ideal para construir o invertir.",48000,USD,,,,,360,usado,central/luque,,,,,0975 330 990,DEMO-014,,https://picsum.photos/seed/p14a/800/600|https://picsum.photos/seed/p14b/800/600|https://picsum.photos/seed/p14c/800/600
venta,casa,Casa familiar en Luque,"Excelente propiedad en Luque. Muy bien ubicada, lista para habitar. Consultá disponibilidad y financiación.",78000,USD,2,1,2,120,200,en_construccion,central/luque,,,,,0961 220 440,DEMO-015,,https://picsum.photos/seed/p15a/800/600|https://picsum.photos/seed/p15b/800/600|https://picsum.photos/seed/p15c/800/600
venta,casa,Casa a estrenar en Las Mercedes,"Excelente propiedad en Las Mercedes. Muy bien ubicada, lista para habitar. Consultá disponibilidad y financiación.",275000,USD,4,3,2,300,360,usado,asuncion/las-mercedes,,,,,0981 123 456,DEMO-016,,https://picsum.photos/seed/p16a/800/600|https://picsum.photos/seed/p16b/800/600|https://picsum.photos/seed/p16c/800/600
venta,departamento,Departamento con balcón en Las Mercedes,Departamento en Las Mercedes con excelente conectividad. Ideal para vivir o invertir.,145000,USD,2,2,1,95,,entrega_inmediata,asuncion/las-mercedes,,,,,0971 555 777,DEMO-017,,https://picsum.photos/seed/p17a/800/600|https://picsum.photos/seed/p17b/800/600|https://picsum.photos/seed/p17c/800/600
